[LOG] System::create                           : Header version = 2.00.08. Current version = 2.00.08.
[LOG] Thread::initThread                       : Init FMOD profiler thread (recv). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] Thread::initThread                       : Init FMOD profiler thread (send). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] LiveUpdate::clientConnected              : client = 0000020F743616E8
[LOG] LiveUpdate::readPacket                   : Recieved init packet from client 0000020F743616E8
[LOG] LiveUpdate::readPacket                   : Accepting init message for client 0000020F743616E8
[LOG] LiveUpdate::transitionToConnected        : 
[LOG] LiveUpdate::acceptInitPacket             : Client 0000020F743616E8 connected, entering connected state
[LOG] ProfileClient::recvThreadLoopFunction    : Socket disconnected
[LOG] ProfileClient::markForDead               : Closing client connection
[LOG] Thread::callback                         : FMOD profiler thread (recv) finished.
[LOG] Thread::callback                         : FMOD profiler thread (send) finished.
[LOG] LiveUpdate::clientDisconnected           : client = 0000020F743616E8
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::initThread                       : Init FMOD profiler thread (recv). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] Thread::initThread                       : Init FMOD profiler thread (send). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] LiveUpdate::clientConnected              : client = 0000020ECF1E4348
[LOG] LiveUpdate::readPacket                   : Recieved init packet from client 0000020ECF1E4348
[LOG] LiveUpdate::readPacket                   : Accepting init message for client 0000020ECF1E4348
[LOG] LiveUpdate::transitionToConnected        : 
[LOG] Manager::sendConnectTimeHash             : 
[LOG] LiveUpdate::sendBankHash                 : 
[LOG] LiveUpdate::acceptInitPacket             : Client 0000020ECF1E4348 connected, entering connected state
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Trent/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WFTq0y/hotswap_1188.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Trent/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WFTq0y/hotswap_1188.bank'
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Trent/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WFTq0y/hotswap_1189.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Trent/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WFTq0y/hotswap_1189.bank'
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Trent/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WFTq0y/hotswap_1190.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Trent/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WFTq0y/hotswap_1190.bank'
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
